artist_id,Name,Type,Popularity,Genres,Followers
5xU5wRTlZHVRoo2OxPvqA4,Throwing Muses,artist,30,"alternative pop, alternative rock, boston rock, dream pop, rhode island indie, riot grrrl",77151
0WO15UbgUyKKtn1anzZP5u,Deborah Allen,artist,29,"classic country pop, country dawn",24392
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,artist,58,"alternative rock, glam rock, permanent wave, protopunk, rock",1605264
2GATzeg62cr6sH29wSOVWe,Red House Painters,artist,37,"melancholia, slowcore",128130
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,artist,81,"art pop, dance pop, pop",29731936
2N4isf5pypyuDVpBofqEN8,Midge Ure,artist,43,"new romantic, new wave pop, scottish new wave, solo wave, synthpop",118824
3D3blX3lLE3BCMdo3SOMlB,Bran Van 3000,artist,39,cymraeg,45308
1FcRUsTmnEQfVCH5OIKSpb,Attack Attack!,artist,45,"melodic metalcore, metalcore, screamo, trancecore",239317
60DhbkIV5C2aLGgtpfUw2C,King Kobra,artist,30,glam metal,43792
0NyzfcGDZZ6GM25EBG9BYK,Ray Parker Jr.,artist,51,theme,88765
3QXjI80udwDSEfxK5BjUXc,Maurice Chevalier,artist,33,"cabaret, vintage chanson, vintage hollywood",23104
3pbg6hZGMHg6G5TiuCh21K,Joe Veras,artist,48,"bachata, bachata dominicana",348675
6z7wrwE2QW7Keb9ozoF0rg,The Babys,artist,39,album rock,110523
2WKdxPFRD7IqZvlIAvhMgY,Fugees,artist,63,"east coast hip hop, hip hop, neo soul, new jersey rap",1390405
1sTOtMflHQ1ULtuozST5RR,Vox Dei,artist,35,"argentine rock, rock nacional",163790
2tFN9ubMXEhdAQvdQxcsma,Jessica Simpson,artist,43,"dance pop, post-teen pop",1278449
4r2UnA39uIXexqO1mABayb,Leon Haywood,artist,32,,16061
5bHSSREflcAADAyCMlmxmh,Mtume,artist,38,"contemporary r&b, funk, new jack swing, post-disco, quiet storm, urban contemporary",241645
4qmHkMxr6pTWh5Zo74odpH,Elvis Costello & The Attractions,artist,48,"art rock, heartland rock, new romantic, new wave, new wave pop, power pop",285105
4esm0n9pRbF92yRNlY59RG,The Monitors,artist,20,"classic soul, motown",24003
2szQRWh2F0RUs9bkbepwok,Hothouse Flowers,artist,36,irish rock,58963
3cdos5vq3wSUR8mEvMiqq9,Scary Kids Scaring Kids,artist,42,"neon pop punk, pop punk, post-hardcore, screamo",199899
47dYAN18NhVC43ud5Zq1PZ,Conflict,artist,25,"anarcho-punk, crust punk, dub punk, hardcore punk, uk82",41321
07ATE522e8aDsEb0JVLYqg,Strung Out,artist,43,"melodic hardcore, punk, ska, skate punk",149630
75L9s8KVrhCNtBUkZFnDFW,Vanessa Williams,artist,47,"contemporary r&b, disco, quiet storm, urban contemporary",484263
43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,artist,60,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock",1722911
7y1GT7SdgGiFLWoktv2TSw,BBMAK,artist,32,boy band,94978
7LTzUnZaptYfAFmvqW5M6D,Limahl,artist,48,"new romantic, new wave pop, synthpop",70388
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,artist,60,"dance pop, hollywood, neo mellow, post-teen pop",728450
45KpBChrKYWhTlU6N57ofu,Kix,artist,38,glam metal,285205
7u1mqP3ykglpCB2c1p1p5I,The Partridge Family,artist,38,bubblegum pop,109884
5gS1uXayWA0WJPgcRqNIae,Jon & Vangelis,artist,39,"art rock, progressive rock, symphonic rock",198807
16nn7kCHPWIB6uK09GQCNI,Social Distortion,artist,52,"punk, punk 'n' roll, skate punk, socal pop punk",631559
3DznKagEU8yMQZR9z33Da5,LaBelle,artist,39,"disco, quiet storm",74625
0GByy3DcfbQwDvXGCWmzv9,Pretenders,artist,58,"album rock, classic rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, rock, soft rock",1493173
6XJPGyxrP66scKvIE9kpPN,Lyn Collins,artist,32,"classic soul, southern soul",45263
3Ukr3Ufjg8ygRJv7Ww887f,Screaming Trees,artist,41,"alternative rock, grunge",324383
7B7TGqQe7QTVm2U6q8jzk1,Lil Rob,artist,49,"chicano rap, g funk, san diego rap",474199
6V03b3Y36lolYP2orXn8mV,98º,artist,50,boy band,494010
5n30a5V4ftXNMHCHChmK2h,Young MC,artist,48,"hip house, miami bass",197985
0SNdq9iJyup4XY6JbNHbt6,Freddy Fender,artist,43,"classic country pop, new mexico music, swamp pop",167076
6Wr3hh341P84m3EI8qdn9O,Rise Against,artist,67,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, post-grunge, punk",2673723
5I2hMUcztc6QbzkyLskdt4,The Birthday Party,artist,29,"australian post-punk, dream pop, experimental, experimental rock, gothic rock, industrial, post-punk",120093
32HPpJAhgnGPT3V7UOggzi,Paul Revere & The Raiders,artist,35,"bubblegum pop, classic garage rock, classic rock, country rock, folk rock, mellow gold, protopunk, psychedelic rock, rock-and-roll, rockabilly, singer-songwriter, soft rock",222617
5bO7gAKKIwHwhxdsCR1UN0,Slim Whitman,artist,31,"cowboy western, yodeling",44580
4Ud7lY9V8pOyydumajSW3O,The Mavericks,artist,48,neo-traditional country,182781
5dmU7FrmtbQaSzIvGsE4Jp,Pancho Barraza,artist,63,"banda, musica mexicana",3042685
4K3DSWzghkGUcQOEZG9gpo,Chris LeDoux,artist,50,"country, country road, wyoming roots",498501
3zCAmjKyHsG7kTGsls1cfj,Spongebob Squarepants,artist,50,"cartoon, children's music",372618
1fa0cOhromAZdq2xRA4vv8,Simply Red,artist,65,"british soul, new romantic, new wave, new wave pop, soft rock, sophisti-pop",2355252
3LfO03nEZMdWNHG2tLpMa0,Tavares,artist,47,"disco, motown, quiet storm",295957
5juOkIIy18sFw9L30syt1Z,Washed Out,artist,50,"chillwave, indietronica, neo-synthpop",485766
5PSWc8Y94zFsAtZlTe7ipI,The Statler Brothers,artist,46,"country, country rock",228222
53KTldaJ8tHSkYU3nigfwP,Fonseca,artist,65,"colombian pop, latin pop",2940546
0dCKce6tJJdHvlWnDMwzPW,Village People,artist,56,"disco, new wave pop, soft rock",645370
0P8YAnEwTGZBkm0IudCZxl,Starbuck,artist,32,yacht rock,18140
5Nx3gPpU2OFLI80rv7fDX5,GG Allin,artist,34,"hardcore punk, punk",99443
1CdLG4i1rTEOsex2UE0jCH,Nacha Pop,artist,51,"cantautor, latin alternative, mexican rock, rock en espanol, spanish new wave, spanish pop",347897
5r0KYGxdIZEHZ6z6XbkVbo,Marvin Sapp,artist,48,gospel,749422
1VKSw4zNYbYK2BXbOOXkcd,Adrian Gurvitz,artist,40,yacht rock,11763
0un6YenPxWZ2VW4aFGMupM,Floetry,artist,44,"british soul, contemporary r&b, hip pop, neo soul, new jack swing, r&b, urban contemporary",727117
7ocwZINHqO9DZJgFtc1B20,Lara Fabian,artist,52,,845413
1PWHsS9haruM3AEebZuGs9,Levon Helm,artist,35,"country rock, folk, heartland rock, jam band, rock drums, roots rock, singer-songwriter, southern rock",145633
7kCL98rPFsNKjAHDmWrMac,Nik Kershaw,artist,51,"new romantic, new wave, new wave pop",314496
7MlyHuGRHi31yYlrttDqgT,The Distillers,artist,46,"punk, skate punk",349067
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,artist,59,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge",2086566
5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon,artist,40,"adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",173479
102IW5khntjPJsSvbFI7eF,Junkyard,artist,22,"glam metal, sleaze rock",27419
72y3ZI95ctkQC2O4mjBaU3,Shai,artist,46,"boy band, contemporary r&b, new jack swing, r&b",776172
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,artist,59,"la indie, stomp and holler",1015160
3FUY2gzHeIiaesXtOAdB7A,Train,artist,71,"dance pop, neo mellow, pop, pop rock",4206418
22WZ7M8sxp5THdruNY3gXt,The Doors,artist,69,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock",7782118
6v4jPZO3UIDNJIgdxRxtr9,DISPATCH,artist,49,"jam band, modern folk rock",289328
0fZ2s0I6Gyt60JUJybaEZA,Jesse Cook,artist,45,"flamenco guitar, rumba",108539
0WnxcAN2X6IKcdaZpi5X1K,The Rip Chords,artist,16,"classic garage rock, surf music",10072
6Re61m6WMPyVp6UZWnDUX1,Effcee,artist,5,,368
0OtigLoCgLYvXnMxbE5qH5,Lost Boyz,artist,40,"east coast hip hop, queens hip hop",303816
7dXeJ8kAqTqtvNWQNV3sdU,Surface,artist,39,contemporary r&b,31015
1P0RsTpMk7yUIcaTQWAmZ9,"Insane Clown Posse, Twiztid",artist,35,,4420
7AC976RDJzL2asmZuz7qil,Yes,artist,56,"album rock, art rock, classic rock, hard rock, progressive rock, rock, soft rock, symphonic rock",1873985
56tggwKsz5OqCDf1i0Str9,Red Foley,artist,32,"classic country pop, western swing",40811
0WNQHJ6HeMlIxyjPQ2PrF5,Pacific Gas & Electric,artist,21,,6343
2dCQKsTjB762AhtIACbAQA,D:Ream,artist,35,"hip house, new wave pop",29247
5i0ph60TnwTlIGrOZAmcZa,King Diamond,artist,40,"danish metal, hard rock, metal, thrash metal",483919
5Vz7hlMWR4OFye64dYoGm0,Cross Canadian Ragweed,artist,44,"classic oklahoma country, oklahoma country, outlaw country, red dirt",229341
0U2mUJuJkthantMGmsJygP,Jerry Butler,artist,33,"chicago soul, classic soul, motown, philly soul, soul",165757
6p7iFdv6Wn9iaS7AwVLvod,Nana Mouskouri,artist,48,,270944
5EvFsr3kj42KNv97ZEnqij,Shaggy,artist,69,"dance pop, pop rap, reggae fusion",2155055
5L3QTPofDwMPGlNnQkyHK1,Job For A Cowboy,artist,40,"deathcore, melodic metalcore, metalcore",240553
1wvlC6NwleHt1iRD6d5X2C,Foxy Brown,artist,50,"contemporary r&b, east coast hip hop, hip pop, new jack swing, r&b",690720
2fiiGUBgPsIKDCE0bTthnl,Ska-P,artist,56,"ska, spanish rock",850449
3IZrrNonYELubLPJmqOci2,Nancy Sinatra,artist,62,"lounge, sunshine pop",453834
65TjDSQmHzLqELPPs9GH5E,Off Broadway,artist,10,underground power pop,2110
2k8kY9zHUWxuTtwV4UutHw,Captain Beefheart & His Magic Band,artist,40,"experimental, experimental rock, outsider, protopunk, psychedelic rock, singer-songwriter, zolo",199281
6ZNeppgfBLPUyugks9Yn1u,Philip Bailey,artist,54,yacht rock,55057
3iDD7bnsjL9J4fO298r0L0,Chicago,artist,65,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",4012286
3Ri72CuuQSCLLkDRJgniFU,Delbert McClinton,artist,40,"classic texas country, country rock, electric blues, harmonica blues, modern blues, southern rock",80616
6X0dG1JElAP4z0ardgJGjY,Wendy Moten,artist,30,contemporary r&b,12685
5J6L7N6B4nI1M5cwa29mQG,Alison Krauss,artist,56,"bluegrass, folk, progressive bluegrass",364894
6loBF9iQdE11WSX29fNKqY,Howard Jones,artist,47,"new romantic, new wave, new wave pop, synthpop",422267
4wo1267SJuUfHgasdlfNfc,The Raconteurs,artist,52,"alternative rock, garage rock, garage rock revival, indie rock, modern blues rock, modern rock, rock, supergroup",891953
2BnZSEAPhFsB1RIyeEgXmN,FU-Schnickens,artist,29,"bboy, east coast hip hop",121184
5T1bhiyED6hokaKTechcKI,Robert Tepper,artist,45,album rock,35844
0TorzrcTerTn7l5q9LVjmt,Cheech & Chong,artist,26,comic,61447
3q8tRS0hCMVCylgKAoA0ya,Stacey Q,artist,43,"freestyle, hi-nrg",64171
5v3TYN6Mmi5vxV2uSOfXot,Guaco,artist,46,"classic venezuelan pop, gaita zuliana, salsa venezolana, venezuelan rock",316469
4l1cKWYW591xnwEGxpUg3J,Miike Snow,artist,51,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",623632
7xNPROyVfkH4mcIxxCxySm,Junior Senior,artist,49,danish pop,70484
2zIenWuthqTgWumViRZCZV,Guttermouth,artist,40,"punk, ska, ska punk, skate punk",117921
1wbW8PchZM0iSKq1V8HsRF,Buckshot LeFonque,artist,31,jazz rap,25799
0hD97064k3LBUrRvfT42SE,Fulanito,artist,48,"merengue tipico, salsa, tropical",354239
